state,year,pregnancyratelt15,pregnancyrate1517,pregnancyrate1819,pregnancyrate1519,pregnancyratelt20,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionratelt15,abortionrate1517,abortionrate1819,abortionrate1519,abortionratelt20,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthratelt15,birthrate1517,birthrate1819,birthrate1519,birthratelt20,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,abortionratiolt15,abortionratio1517,abortionratio1819,abortionratio1519,abortionratiolt20,abortionratio2024,abortionratio2529,abortionratio3034,abortionratio3539,abortionratio40plus,pregnancieslt15,pregnancies1517,pregnancies1819,pregnancies1519,pregnancieslt20,pregnancies2024,pregnancies2529,pregnancies3034,pregnancies3539,pregnancies40plus,abortionslt15,abortions1517,abortions1819,abortions1519,abortionslt20,abortions2024,abortions2529,abortions3034,abortions3539,abortions40plus,birthslt15,births1517,births1819,births1519,birthslt20,births2024,births2529,births3034,births3539,births40plus,miscarriageslt15,miscarriages1517,miscarriages1819,miscarriages1519,miscarriageslt20,miscarriages2024,miscarriages2529,miscarriages3034,miscarriages3539,miscarriages40plus,populationlt15,population1517,population1819,population1519,populationlt20,population2024,population2529,population3034,population3539,population40plus,populationsource,population1544,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal,notes,versiondate
HI,2005,5.8,41.6,121,71.4,72.6,165.4,162.6,139.7,80.5,21.3,3.3,17.7,37.4,25.1,25.8,40.5,26.9,17.4,10.5,4,1.8,18.4,66.5,36.5,36.9,100.7,110.8,100.5,57.5,14,1786.4,965.3,562.3,689.2,700.9,402.6,242.7,172.8,182.8,288.2,50,1050,1840,2900,2950,7200,7010,5710,3490,1010,30,450,570,1020,1050,1760,1160,710,460,190,16,466,1014,1480,1496,4383,4780,4108,2494,663,NA,140,260,400,400,1050,1070,890,540,150,8743,25344,15245,40589,40589,43541,43123,40879,43403,47324,SEER,258859,5330,17924,105.7,69.2,20.6,297.4,4120,27370,, 3 Oct 2024
HI,2006,6.8,45.2,127.5,75.9,77.3,174.6,166.1,146.7,82.2,22.1,4.2,19.1,38.9,26.5,27.3,42.3,26,17.6,10.1,4.1,1.8,20.1,70.6,39,39.3,106.7,114.6,106.1,59.3,14.7,2296.7,951.2,550.7,680.1,694.9,396.5,226.8,165.8,170.2,279.6,60,1170,1980,3150,3210,7640,7430,5910,3610,1030,30,500,600,1100,1140,1850,1160,710,440,190,15,523,1096,1619,1634,4668,5123,4273,2599,685,NA,150,280,430,440,1120,1140,930,560,160,8204,26014,15528,41542,41542,43740,44717,40275,43852,46739,SEER,260865,5490,18982,110.5,72.8,21,289.2,4350,28820,, 3 Oct 2024
HI,2007,8.4,42.5,131.4,75.8,77.5,178.6,165.4,150.5,84.4,21.9,5.3,18.8,39.9,26.7,27.8,43.1,28,18,10.4,4.4,2.2,18.2,72.9,38.7,39.1,109.3,112.2,108.9,60.8,14.2,2425.5,1036.6,546.4,690.1,709.3,394.5,249.2,165.5,170.5,311.3,70,1100,2050,3150,3220,7650,7520,6030,3700,1000,40,490,620,1110,1150,1850,1270,720,450,200,18,472,1138,1610,1628,4679,5099,4365,2667,648,NA,140,290,430,440,1120,1150,950,580,150,8290,26001,15600,41601,41601,42813,45437,40076,43855,45718,SEER,259500,5650,19086,112.2,73.5,21.8,296,4380,29120,, 3 Oct 2024
HI,2008,7.9,38.3,137.4,76.6,78.2,176.3,163,153.2,86.9,23.6,5.2,16.4,44.3,27.2,28.2,43.3,25.2,17.8,11.5,4.6,1.8,16.9,73.9,38.9,39.3,107.2,112.7,111.3,61.8,15.5,2880.3,968.1,599.7,697.7,717.6,404,223.1,159.7,186.8,299.3,70,980,2220,3200,3260,7550,7650,6240,3780,1060,40,420,720,1130,1180,1850,1180,720,500,210,15,432,1193,1625,1640,4590,5291,4533,2692,693,NA,130,310,440,450,1100,1180,980,590,160,8320,25576,16148,41724,41724,42808,46932,40719,43542,44832,SEER,260557,5650,19439,113.4,74.6,21.7,290.4,4450,29540,, 3 Oct 2024
HI,2009,6.8,35.3,123.9,70.6,72,167.1,166.2,145.6,84.6,22,4.6,13.8,38.9,23.8,24.7,41.1,28.6,17.4,11.5,4.8,1.5,16.8,67.6,37,37.3,101.6,112.4,105.4,60,13.9,3072.2,824,574.5,642.4,661.1,404.2,254.2,165.4,191.8,347.7,50,890,2060,2950,3000,7220,7800,6090,3670,970,40,350,650,990,1030,1770,1340,730,500,210,12,421,1126,1547,1559,4390,5274,4408,2604,612,NA,120,290,410,410,1060,1190,950,570,140,8049,25107,16648,41755,41755,43213,46941,41834,43412,44090,SEER,261245,5590,18847,110.1,72.1,21.4,296.4,4330,28760,, 3 Oct 2024
HI,2010,4.2,31.7,117.6,65.5,66.3,167,166.5,146,82.7,23.2,2.4,14.6,38.2,23.9,24.4,41.7,27.6,17.4,10.3,4.2,1.2,13,62.9,32.6,32.9,101,113.5,105.7,59.4,15.5,1985.9,1131.1,607.1,733.1,742.4,413,243.4,164.6,173.6,272.9,30,790,1910,2700,2740,7400,7800,6330,3510,1030,20,370,620,990,1010,1850,1290,750,440,190,10,324,1023,1347,1357,4472,5311,4586,2527,688,NA,100,270,370,370,1080,1190,990,550,160,8120,25018,16251,41269,41269,44293,46805,43387,42516,44409,SEER,262679,5530,18941,109.7,72.1,21,291.9,4340,28810,, 3 Oct 2024
HI,2011,4.7,29.7,111,61.1,62,162.1,162.5,144.5,85.7,24.1,2.6,13.9,37.5,23,23.5,40.1,26.8,17.8,11.4,4.8,1.5,12,58.1,29.8,30.1,98.4,110.9,104.1,60.9,15.7,1729.4,1153,646.5,772,781.5,407.2,241.5,171,187.8,309.2,40,730,1720,2460,2490,7370,7750,6500,3590,1080,20,340,580,930,950,1820,1280,800,480,220,12,297,902,1199,1211,4475,5286,4685,2553,698,NA,90,240,330,340,1080,1180,1020,560,160,7960,24696,15537,40233,40233,45482,47662,45009,41890,44537,SEER,264813,5540,18908,108.7,71.4,20.9,293.1,4340,28780,, 3 Oct 2024
HI,2012,13.7,24.8,99.2,53.8,56.5,148.5,159.1,145.4,85.9,24.3,2.9,9.7,31.6,18.3,18.9,34.5,25.1,15.6,10.4,4.7,8.8,11.8,53.6,28.1,29.8,92.2,109.6,106.9,62.1,16,327.5,829.1,589.9,651,632,374.2,228.9,145.9,167.1,290.9,110,600,1530,2120,2230,6800,7650,6780,3630,1080,20,230,490,720,740,1580,1210,730,440,210,69,283,825,1108,1177,4222,5269,4980,2621,711,20,80,210,290,310,1000,1170,1070,570,160,7884,24069,15380,39449,39449,45805,48066,46605,42207,44454,SEER,266586,4900,18980,105.7,71.2,18.4,258.2,4290,28170,, 3 Oct 2024
HI,2013,2.7,19.3,84.6,44.8,45.3,146.2,156.5,136.6,89.2,22.8,NA,6.2,24.3,13.2,13.4,32.6,22.7,12.8,8.5,3.9,1.5,10.4,48.2,25.2,25.5,91.9,109.6,102.1,66.6,15.4,NA,590.1,504.3,526,526.3,355.3,207.2,125.2,127.9,253.1,20,460,1280,1740,1760,6660,7600,6580,3810,1000,NA,150,370,510,520,1490,1100,620,360,170,12,247,729,976,988,4188,5322,4917,2840,679,NA,60,180,250,250,990,1170,1040,600,150,7895,23649,15122,38771,38771,45584,48573,48164,42671,43969,SEER,267732,4260,18934,102.4,70.7,15.9,225.1,4210,27410,, 3 Oct 2024
HI,2014,11.9,18.6,76,40.8,43.3,132.4,149.3,138.5,85.1,23.8,NA,6.3,19.5,11.4,11.5,27,19.3,12.6,8.9,3.3,9.7,9.7,45.4,23.5,25.5,85.5,106.7,103.9,62.8,16.9,NA,653.9,430,486.4,450.1,316,181.2,121.7,142.2,195.2,90,430,1120,1550,1640,6000,7260,6780,3670,1030,NA,150,290,430,440,1220,940,620,390,140,76,225,668,893,969,3875,5190,5080,2709,727,20,60,160,220,240,900,1130,1080,580,160,7833,23239,14704,37943,37943,45301,48646,48910,43171,43125,SEER,267096,3750,18550,98.8,69.5,14,202,4080,26380,, 3 Oct 2024
HI,2015,12.3,15.4,67.9,35.7,38.3,127,143.6,136.3,89,23.7,NA,5.4,16.2,9.6,9.8,21.9,17.9,12.1,8.8,3.7,9.3,8,41.7,21,22.9,85.7,103.2,102.4,66.1,16.3,NA,672.3,389.6,455.5,426.1,255.2,173.6,118.2,133.4,229.4,100,360,990,1340,1440,5630,7090,6690,3970,990,NA,120,240,360,370,970,880,600,390,160,74,184,605,789,863,3799,5095,5033,2945,685,20,50,140,190,210,860,1110,1070,630,150,7965,23099,14511,37610,37610,44308,49353,49128,44574,42016,SEER,266989,3370,18420,96.7,69,12.6,182.8,4020,25810,, 3 Oct 2024
HI,2016,10.1,13.3,63.8,32.6,34.7,121.5,140.1,136.2,84.9,23.7,NA,5.1,13.9,8.5,8.6,21,16.5,11.7,7.7,3.5,8,6.4,40.4,19.4,21,81.9,101.6,102.8,63.6,16.6,NA,790.8,345.5,436.7,407.6,256.7,162.3,113.8,121.5,210.2,80,310,910,1220,1300,5230,7040,6670,3880,990,NA,120,200,320,320,910,830,570,350,140,61,149,579,728,789,3529,5106,5037,2909,689,10,40,140,180,190,800,1100,1060,620,150,7656,23143,14347,37490,37490,43073,50233,49013,45720,41557,SEER,267086,3130,18059,94,67.6,11.7,173.2,3920,25110,, 3 Oct 2024
HI,2017,14.3,12.6,63.5,32.3,35.2,121.7,136.5,131.7,84.3,25,1.3,4.7,14.2,8.4,8.6,21.5,17.7,11.7,8.4,3.8,10.7,6.2,39.9,19.2,21.4,81.7,97.5,99,62.5,17.4,122.2,756,355.4,435,402.8,263.2,181.8,117.9,135,217.3,110,290,910,1200,1310,5090,6780,6430,3930,1030,10,110,200,310,320,900,880,570,390,160,82,142,572,714,796,3415,4841,4832,2915,718,20,40,130,170,190,770,1060,1020,620,160,7662,22811,14325,37136,37136,41792,49669,48790,46617,41360,SEER,265364,3220,17517,92.6,66,12.1,183.8,3830,24560,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 3 Oct 2024
HI,2018,11.5,12.7,57.4,30,32.4,117,133.8,131.5,83.7,24.3,NA,3.8,15.1,8.1,8.3,23,17.3,12.6,7.1,3.3,9,7.1,34,17.5,19.4,76.4,95.7,98,63.2,17.3,NA,532.9,442.9,465.3,425.3,300.9,180.3,128.8,112.9,189.8,90,290,810,1100,1190,4770,6580,6320,3980,1010,NA,90,210,300,300,940,850,610,340,140,71,160,483,643,714,3117,4703,4714,3007,717,10,40,120,160,170,720,1030,1000,640,160,7849,22522,14192,36714,36714,40794,49145,48112,47566,41542,SEER,263873,3170,16972,90.4,64.3,12,186.9,3710,23860,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 3 Oct 2024
HI,2019,11,10.8,55.5,28.2,30.5,116,136.5,129.9,85.6,25.5,NA,3.8,14.9,8.1,8.4,21.5,17.8,12.5,7.8,3.5,8,5.5,32.6,16,17.7,76.9,97.4,96.8,64.2,18.1,NA,698.5,457.5,508.3,474.7,279.5,182.5,129.3,121.9,192.2,80,240,790,1030,1110,4630,6550,6180,4070,1070,NA,90,210,300,310,860,850,600,370,150,61,123,461,584,645,3068,4673,4604,3051,756,10,30,110,150,160,700,1020,980,650,170,7601,22323,14144,36467,36467,39885,47972,47575,47560,41810,SEER,261269,3130,16797,90.3,64.3,12,186.3,3670,23600,, 3 Oct 2024
HI,2020,8.5,9,47.6,23.9,25.7,111.5,133,127.1,82.7,24.3,NA,3.3,14.2,7.5,7.6,22.1,18.6,12.1,8,4,6.8,4.5,26.6,13,14.5,72.7,93.8,94.8,61.6,16.6,NA,724,535.8,575.8,522.8,303.3,198.9,128,130.2,241.4,60,200,660,860,920,4370,6140,6030,3880,1040,NA,70,200,270,270,860,860,580,380,170,51,100,370,470,521,2847,4325,4498,2887,707,10,30,90,120,130,660,950,960,610,160,7465,22113,13918,36031,36031,39148,46128,47446,46889,42686,SEER,258328,3120,15785,86.6,61.1,12.1,197.5,3470,22370,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 3 Oct 2024
ID,1988,5.4,42.2,123.6,75.4,76.4,205.3,173,100.4,38.8,9.3,2.4,10.1,28.9,17.7,18.2,26.1,14.9,9.6,4.8,2.4,2.2,26,76.4,46.5,47,147.2,130.5,74.9,27.9,5.6,1087,387,378.7,381.4,388,177.2,114.5,128.3,172.6,427.2,40,970,1960,2930,2970,6690,6480,4020,1470,290,20,230,460,690,710,850,560,380,180,70,17,599,1211,1810,1827,4798,4884,2998,1061,173,NA,140,290,430,440,1040,1030,640,230,40,7583,23057,15844,38901,38901,32596,37438,40053,38020,31112,SEER,218120,2760,15741,100.5,72.2,12.7,175.3,3420,21930,, 3 Oct 2024
ID,1992,5.3,42.2,131.9,77.3,78.4,202.6,193.7,103.3,40,8.7,1.2,7.4,24.3,14,14.3,20.2,14.6,7.5,5.1,1.5,3.3,28.4,87.6,51.5,52.2,150.3,148,79.2,28.7,5.9,351.2,260.6,277.5,271.8,272.9,134.8,98.7,94.2,177.2,260.7,50,1110,2230,3340,3390,7200,6490,4330,1740,340,10,190,410,610,620,720,490,310,220,60,30,748,1481,2229,2259,5343,4962,3320,1249,229,NA,170,340,510,510,1140,1040,700,270,50,9033,26343,16899,43242,43242,35558,33528,41893,43584,38988,SEER,236793,2420,17362,99.2,73.3,10.2,139.4,3710,23500,, 3 Oct 2024
ID,1996,6.7,39.6,114,69.5,70.9,185.8,190.1,107.4,40.6,9.5,3.4,7.5,18.7,12,12.7,16.7,12.9,7.9,4.7,1.7,2.5,26.2,77.9,46.9,47.4,139.5,146.6,82.3,29.5,6.4,1383,286.3,240.2,255.5,267.2,119.5,87.6,95.4,160.2,274.4,70,1260,2430,3680,3750,7590,6880,4430,1960,450,40,240,400,640,670,680,470,320,230,80,26,829,1657,2486,2512,5697,5306,3391,1422,297,NA,190,370,560,570,1210,1110,710,310,70,10484,31676,21277,52953,52953,40831,36182,41197,48144,46737,SEER,266044,2450,18625,94.1,70,9.2,131.5,3970,25050,, 3 Oct 2024
ID,2000,4.4,31.3,105.4,62.1,63,190.1,186.1,119.6,47.9,11.7,2.3,5.7,15.9,9.9,10.4,20.4,13.5,7.7,5.7,2.4,1.5,20.9,73.2,42.7,43,139.7,142.7,92.7,34.7,7.5,1502,271.2,216.9,232.4,241,145.8,94.3,82.6,164.6,327.4,50,1010,2410,3420,3460,8650,7590,4940,2250,570,20,180,360,550,570,930,550,320,270,120,16,671,1678,2349,2365,6358,5823,3826,1627,367,NA,150,370,520,530,1360,1220,800,350,90,10333,32121,22912,55033,55033,45498,40792,41288,46897,49148,SEER,278656,2750,20366,98.6,73.1,9.9,135,4350,27460,, 3 Oct 2024
ID,2005,3.5,25,94.6,53.2,53.9,181.5,198.8,127.3,57.1,12.7,1.3,5.1,13.9,8.7,8.9,14.6,13.3,7.2,5.6,2,1.7,16.1,66.1,36.4,36.7,137.8,153.5,99.5,42.5,8.7,729.9,318.3,210.1,238.6,243.2,106.2,86.5,72.7,130.9,229.5,40,820,2130,2950,2980,9460,9240,5620,2540,630,10,170,310,480,490,760,620,320,250,100,19,530,1485,2015,2034,7181,7136,4389,1889,433,NA,120,330,450,460,1510,1490,910,400,100,10890,32909,22477,55386,55386,52112,46485,44112,44487,49529,SEER,292111,2540,23062,104.3,78.9,8.7,110.1,4870,30470,, 3 Oct 2024
ID,2006,3.8,29.2,97.6,56.7,57.4,188.6,201.9,131.1,56.3,11.2,1.6,7.3,13.8,9.9,10.2,16.3,11.9,7.9,5.3,1.9,1.7,17.7,68.6,38.1,38.5,142.2,157.3,102.1,42.1,7.6,961.5,411.6,201.5,259.8,265.7,114.7,75.6,77.3,124.8,249.4,40,980,2200,3180,3220,9960,9840,5830,2600,550,20,240,310,560,570,860,580,350,240,90,18,594,1546,2140,2158,7510,7667,4534,1942,373,NA,140,340,480,490,1590,1590,940,410,80,10800,33597,22526,56123,56123,52795,48738,44428,46130,48902,SEER,297116,2700,24184,107.7,81.4,9.1,111.6,5110,31990,, 3 Oct 2024
ID,2007,2.9,28.7,103.5,59,59.6,190.4,201.8,132.1,58.7,13.1,NA,5.8,16.5,10.2,10.3,17.8,12.5,7.7,5.1,2.2,1.5,18.6,71.1,39.9,40.2,142.4,156.7,103.1,44.2,8.9,NA,313.7,232.3,254.8,257.3,124.8,79.7,74.3,116.1,250.2,30,970,2370,3340,3370,10090,10180,6090,2770,630,NA,200,380,580,590,940,630,350,240,110,17,626,1631,2257,2274,7548,7909,4753,2084,428,NA,140,360,510,510,1600,1640,990,440,100,10978,33690,22931,56621,56621,53001,50457,46120,47159,48223,SEER,301581,2860,24996,109.9,82.9,9.5,114.4,5290,33140,, 3 Oct 2024
ID,2008,2.5,27.8,98.3,56.8,57.2,183,198,135.1,56.1,11.6,NA,4.1,14.4,8.4,8.4,16.7,10.5,7.8,4.3,1.7,1.6,19.4,68.7,39.6,40,137.2,155.4,105.4,42.8,8.1,NA,213.7,209.6,210.8,211.4,122.1,67.6,74,99.8,214.6,30,930,2300,3240,3260,9710,10390,6350,2690,550,NA,140,340,480,480,890,550,370,210,80,18,651,1610,2261,2279,7280,8155,4957,2056,381,NA,140,360,500,500,1540,1690,1030,430,80,10964,33592,23440,57032,57032,53076,52492,47034,47983,47156,SEER,304773,2580,25108,108.2,82.4,8.5,102.6,5280,32960,, 3 Oct 2024
ID,2009,2.6,24,90.1,51.3,51.8,169.8,183.8,130.1,54.4,12.7,NA,3.8,12.7,7.5,7.7,15.9,10.2,7.1,4.5,2.4,1.4,16.5,63.4,35.9,36.1,126.9,143.9,101.9,41.3,8.4,NA,232.3,200.5,209.1,212,125,70.6,69.3,108.9,283.6,30,800,2110,2910,2940,9060,9620,6350,2610,590,NA,130,300,430,440,850,530,340,220,110,15,551,1487,2038,2053,6774,7532,4974,1977,393,NA,120,330,450,450,1440,1560,1030,420,90,10884,33377,23446,56823,56823,53365,52354,48800,47923,46703,SEER,305968,2490,23703,101.9,77.5,8.1,104.8,4990,31180,, 3 Oct 2024
ID,2010,2.3,22,84.6,47.4,47.9,158.4,186.6,129.1,53.4,11.8,NA,3.6,12,7,7.1,15.1,10.3,8,4.1,1.4,1.2,15.1,59.6,33.1,33.4,118.1,146,100.3,40.8,8.5,NA,237.4,200.7,210.7,214.3,128.2,70.6,79.4,99.6,167.1,30,740,1930,2670,2690,8490,9670,6490,2540,550,NA,120,270,390,400,810,530,400,190,70,13,504,1359,1863,1876,6333,7570,5044,1939,401,NA,110,300,410,420,1350,1570,1050,410,90,11241,33424,22817,56241,56241,53629,51836,50301,47564,46958,SEER,306529,2410,23163,99.3,75.6,7.9,104,4870,30450,, 3 Oct 2024
ID,2011,2.6,16.6,77.2,40.7,41.2,149.8,177.3,128,53,12.7,NA,2.6,11.2,6,6.2,14.1,10.4,8,4,1.9,1.3,11.4,54,28.4,28.7,111.9,138.3,99.3,40.6,8.8,NA,228.6,207.2,212.4,216.5,126.4,74.9,80.3,97.6,211.8,30,560,1710,2270,2300,8180,9160,6570,2500,600,NA,90,250,340,350,770,530,410,190,90,15,384,1200,1584,1599,6109,7141,5099,1915,422,NA,90,260,350,350,1300,1480,1060,400,90,11203,33593,22206,55799,55799,54600,51637,51332,47213,47741,SEER,308322,2340,22285,95.1,72.3,7.6,105,4690,29310,, 3 Oct 2024
ID,2012,1.5,17.2,76.7,40.6,40.9,150.8,182.1,129.4,53.8,13.2,NA,2.9,11,6.1,6.2,12.6,9.9,5.9,3.2,1.9,0.9,11.6,53.9,28.3,28.5,114.1,142.7,102.4,41.9,9.2,NA,250,204,215.5,216.8,110.7,69.4,57.4,76.2,206.8,20,580,1680,2250,2270,8310,9340,6710,2570,640,NA,100,240,340,340,700,510,300,150,90,10,391,1177,1568,1578,6285,7317,5312,2000,445,NA,90,260,350,350,1330,1510,1090,420,100,11282,33593,21855,55448,55448,55081,51274,51859,47704,48166,SEER,309532,2090,22937,96.4,74.1,6.8,91.3,4800,29830,, 3 Oct 2024
ID,2013,1.5,13,70.4,35.4,35.7,141.2,180.5,123.4,56,12.4,NA,1.8,8,4.2,4.3,12,8.9,4.5,3.7,1.5,0.9,9.2,51.4,25.6,25.8,106.6,142.3,98.7,43.3,9,NA,194.1,154.8,163.4,164.9,113,62.7,45.8,86,170.9,20,440,1530,1970,1980,7760,9260,6510,2730,600,NA,60,170,230,240,660,460,240,180,70,11,312,1113,1425,1436,5859,7299,5206,2112,433,NA,70,240,310,310,1240,1510,1070,440,90,11609,33919,21658,55577,55577,54966,51301,52729,48789,48280,SEER,311642,1850,22345,92.6,71.7,5.9,82.8,4650,28850,, 3 Oct 2024
ID,2014,4.2,12.5,63.5,32.3,33.2,148.1,174.8,129.2,57.6,12.4,NA,1.5,8.2,4.1,4.3,11.3,8.6,5,3.3,1.2,2.8,9,45.4,23.1,23.7,113.1,137.8,103.1,45,9.2,NA,166.3,181.9,178.2,180.6,99.7,62.3,48.8,72.8,134.4,50,430,1390,1820,1870,8050,9160,6850,2890,600,NA,50,180,230,240,610,450,270,160,60,34,311,992,1303,1337,6144,7222,5468,2261,444,NA,70,220,280,290,1290,1490,1120,470,90,12026,34427,21868,56295,56295,54324,52404,53038,50241,48314,SEER,314616,1790,22876,93.5,72.7,5.7,78.5,4750,29430,, 3 Oct 2024
ID,2015,1.3,12.2,62.7,31.4,31.7,141.6,171.9,131.7,59.4,13,NA,1.9,7.5,4,4.1,11.4,7.2,5.3,3.9,1.5,0.9,8.4,45.4,22.5,22.7,107.6,136.7,104.9,45.9,9.5,NA,224.5,166.1,179.7,180.3,106,52.4,50.6,85.1,159.3,20,430,1370,1800,1820,7550,9220,7030,3070,630,NA,70,160,230,230,610,380,280,200,70,11,300,988,1288,1299,5733,7332,5596,2375,458,NA,70,210,280,280,1210,1500,1150,500,100,12235,35532,21782,57314,57314,53303,53654,53343,51721,48264,SEER,317599,1780,22793,92.3,71.8,5.6,78.3,4740,29310,, 3 Oct 2024
ID,2016,4.4,10.8,56.6,28.1,29,137.3,164.4,132.8,54.9,13.5,NA,1.5,7.7,3.8,3.9,11.2,8.2,5.4,2.6,1.3,3.3,7.6,40.1,19.9,20.6,104.1,129.5,105.7,43.4,10.1,NA,197.2,192.1,193.3,190.3,108,63.1,51.1,60.3,123.7,50,400,1260,1650,1710,7350,9110,7160,2950,660,NA,60,170,230,230,600,450,290,140,60,40,280,891,1171,1211,5574,7174,5699,2333,491,NA,60,200,260,270,1170,1480,1170,480,100,11961,36699,22224,58923,58923,53548,55405,53911,53770,48414,SEER,323971,1780,22482,89.3,69.4,5.5,79.1,4670,28930,, 3 Oct 2024
ID,2017,1.1,8.6,54.4,26,26.2,131.6,161.6,124.9,57.2,12.2,NA,1.4,6.6,3.4,3.4,11,7.5,5.5,3.6,1.3,0.8,5.8,39.3,18.5,18.7,99.6,127.9,99.1,44.4,9,NA,245.1,169.1,183.9,183.5,110.1,58.3,55.4,81.2,146.5,10,320,1230,1550,1560,7120,9210,6850,3190,610,NA,50,150,200,200,590,420,300,200,70,10,216,890,1106,1116,5388,7285,5435,2472,447,NA,50,190,240,240,1140,1500,1120,510,100,12246,37088,22659,59747,59747,54110,56979,54868,55683,49674,SEER,331061,1790,22143,86.2,66.9,5.4,80.8,4610,28540,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 3 Oct 2024
ID,2018,3.7,8.3,46.7,23,23.8,123.7,153.4,121.1,57.2,11.3,NA,1.4,6.7,3.4,3.5,11.1,8.4,5.3,3.6,1,2.7,5.7,32.8,16.1,16.7,92.9,120.1,96,44.4,8.5,NA,239.6,203.2,211.1,209.8,119.8,70.1,55.7,81.9,114.4,50,310,1080,1390,1440,6790,8910,6730,3280,590,NA,50,150,210,210,610,490,300,210,50,34,211,761,972,1006,5100,6976,5338,2541,442,NA,50,170,210,220,1080,1440,1100,530,90,12759,37193,23214,60407,60407,54905,58067,55616,57269,51751,SEER,338015,1870,21403,82.1,63.3,5.5,87.2,4470,27740,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 3 Oct 2024
ID,2019,4.4,7.2,46.2,22.3,23.2,123.1,155.5,123.2,59.4,12.7,NA,1.1,8.5,4,4,11.2,8.4,5.8,3.6,1.3,3.5,5,30.7,14.9,15.6,92.3,121.8,97.4,46.2,9.3,NA,230.1,276.9,267.3,257.5,121.6,69,59.3,78,143,60,270,1100,1370,1430,6860,9160,7050,3480,680,NA,40,200,250,250,630,500,330,210,70,45,188,729,917,962,5140,7180,5571,2706,504,NA,40,170,210,220,1090,1490,1150,560,110,12945,37792,23750,61542,61542,55701,58928,57202,58582,53924,SEER,345879,1980,22063,82.8,63.8,5.7,89.8,4610,28660,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 3 Oct 2024
ID,2020,4.3,7.7,45.1,21.9,22.8,116.4,153.3,118.3,56.6,12.8,0.9,1.4,8.1,4,4.2,12.1,9.1,6,3.7,1.2,2.8,5.1,30.2,14.6,15.2,85.9,119.4,93.1,43.8,9.6,317.1,284.7,268.6,272.1,273.8,140.9,76.4,64.3,84.5,127.3,60,300,1070,1360,1420,6660,9010,6990,3380,720,10,60,190,250,260,690,540,350,220,70,36,196,713,909,945,4916,7020,5503,2611,538,NA,40,160,210,210,1050,1460,1140,540,110,13031,38703,23636,62339,62339,57239,58815,59118,59678,56178,SEER,353367,2130,21533,79.8,60.9,6,99,4520,28180,, 3 Oct 2024
IL,1988,18.8,71.8,167.9,111.2,114.5,186,175.1,114.8,47.4,9.6,8,25.6,66,42.2,43.6,55.5,30.2,17.4,9.8,3.2,8.3,36.4,79.4,54,55.5,104.1,118.3,79.7,30.6,5,966.9,703.3,831.3,780.5,785.5,533,254.9,218.5,319.5,649.2,1400,17680,28770,46450,47850,83080,88490,57690,20870,3580,600,6300,11310,17610,18210,24790,15240,8750,4300,1210,618,8960,13605,22565,23183,46509,59774,40055,13449,1871,180,2420,3850,6270,6460,11780,13480,8890,3120,500,74506,246370,171374,417744,417744,446562,505286,502676,440131,374584,SEER,2686983,72500,184841,112.2,68.8,27,392.2,44220,301560,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of IN, MO, OH)", 3 Oct 2024
IL,1992,17.4,68.1,174.7,110.9,114.4,196.4,174.3,121.7,52.4,10.7,6.5,18.3,52.7,32.1,33.4,57.9,30,16.8,10.1,3.2,8.6,40,97.3,63,64.7,110.6,117.7,86,34.4,6,754.8,457,541.7,509.5,516.1,523.2,254.9,195.8,293.1,535.6,1340,15540,26670,42220,43560,83250,82420,63670,25340,4590,500,4170,8050,12220,12720,24530,14190,8810,4880,1370,662,9129,14852,23981,24643,46886,55671,44983,16648,2565,180,2240,3770,6020,6200,11830,12550,9880,3820,650,77071,228134,152634,380768,380768,423805,472857,523160,483605,430734,SEER,2714929,66500,191396,111.5,70.5,24.5,347.4,44930,302830,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of IN, MO, OH)", 3 Oct 2024
